image_name,is_cropped,total_area,roi_area,processing_time
image.1024_with_target,False,19441,19352,-1740975887162.1553
image.6347_with_target,False,19279,19274,-1740975887161.728
image.0023_with_target,False,19249,19239,-1740975887161.3616
image.3993_with_target,False,21228,21212,-1740975887162.123
image.9700_with_target,False,20700,20692,-1740975887162.1833
image.8060_with_target,False,20672,19234,-1740975887161.4255
image.3350_with_target,False,20698,20698,-1740975887162.172
image.9142_with_target,False,19743,19729,-1740975887162.1343
image.0780_with_target,False,19570,19557,-1740975887161.9446
image.1610_with_target,False,20731,20726,-1740975887162.0999
image.2055_with_target,False,19802,19776,-1740975887161.434
image.3102_with_target,False,20955,20942,-1740975887161.8518
image.5060_with_target,False,19588,19583,-1740975887162.0845
image.4425_with_target,False,19240,19230,-1740975887162.167
image.5981_with_target,False,19466,19466,-1740975887162.1577
image.3825_with_target,False,20610,20605,-1740975887161.9973
image.6051_with_target,False,19298,19285,-1740975887162.1677
image.6565_with_target,False,19473,19391,-1740975887162.065
image.8614_with_target,False,20675,20623,-1740975887162.0486
image.7728_with_target,False,19312,19312,-1740975887162.1594
image.3264_with_target,False,19272,19250,-1740975887162.1748
image.8255_with_target,False,19179,19165,-1740975887160.707
image.3354_with_target,False,19295,19295,-1740975887161.818
image.4408_with_target,False,19831,19821,-1740975887161.9468
image.5958_with_target,False,19527,19522,-1740975887161.8955
image.5755_with_target,False,19266,19241,-1740975887162.0024
image.9096_with_target,False,19502,19491,-1740975887147.1187
image.5068_with_target,False,20684,20670,-1740975887161.9878
image.7158_with_target,False,19252,19239,-1740975887160.7842
image.4247_with_target,False,20521,20513,-1740975887162.0168
image.9169_with_target,False,19454,19378,-1740975887161.7502
image.4312_with_target,False,19200,19200,-1740975887162.1504
image.8572_with_target,False,20687,20676,-1740975887161.8933
image.8876_with_target,False,20502,20494,-1740975887157.228
image.8599_with_target,False,19891,19886,-1740975887161.9937
image.4280_with_target,False,19263,19249,-1740975887161.4597
image.9972_with_target,False,19292,19279,-1740975887161.0652
image.4259_with_target,False,19779,19771,-1740975887161.855
image.1278_with_target,False,20902,20674,-1740975887161.8364
image.4929_with_target,False,19898,19898,-1740975887161.2913
image.9258_with_target,False,19264,19264,-1740975887161.9558
image.7180_with_target,False,19440,19432,-1740975887161.9712
image.4896_with_target,False,20634,20621,-1740975887162.158
image.3030_with_target,False,19896,19877,-1740975887161.9111
image.5152_with_target,False,20826,20777,-1740975887162.1162
image.2782_with_target,False,19296,19220,-1740975887161.6018
image.4505_with_target,False,20713,20688,-1740975887161.806
image.7026_with_target,False,19209,19204,-1740975887162.2039
image.2966_with_target,False,19243,19233,-1740975887161.553
image.0796_with_target,False,19337,19327,-1740975887161.0356
image.6757_with_target,False,19234,19221,-1740975887162.1313
image.8383_with_target,False,19255,19242,-1740975887161.8938
image.3799_with_target,False,19308,19297,-1740975887160.65
image.7248_with_target,False,19305,19281,-1740975887162.045
image.6937_with_target,False,19591,19586,-1740975887162.174
image.2607_with_target,False,19876,19866,-1740975887161.9443
image.6131_with_target,False,20719,20682,-1740975887161.2253
