image_name,is_cropped,total_area,roi_area,processing_time
image.3278_with_target,False,19414,19353,-1740975890594.8137
image.0427_with_target,False,20564,20564,-1740975890596.2332
image.2819_with_target,False,19753,19692,-1740975890595.9202
image.8957_with_target,False,19227,19227,-1740975890596.2078
image.1096_with_target,False,19721,19543,-1740975890595.9329
image.5525_with_target,False,20846,20846,-1740975890595.6926
image.2206_with_target,False,19780,19767,-1740975890595.9011
image.5035_with_target,False,19519,19514,-1740975890596.057
image.1024_with_target,False,19441,19352,-1740975890595.3665
image.6347_with_target,False,19279,19274,-1740975890596.1084
image.0023_with_target,False,19249,19239,-1740975890595.7207
image.3993_with_target,False,21228,21212,-1740975890594.5317
image.9700_with_target,False,20700,20692,-1740975890596.19
image.8060_with_target,False,20672,19234,-1740975890595.5813
image.3350_with_target,False,20698,20698,-1740975890595.3828
image.9142_with_target,False,19743,19729,-1740975890595.98
image.0780_with_target,False,19570,19557,-1740975890592.151
image.1610_with_target,False,20731,20726,-1740975890595.6995
image.2055_with_target,False,19802,19776,-1740975890596.2534
image.3102_with_target,False,20955,20942,-1740975890595.6875
image.5060_with_target,False,19588,19583,-1740975890596.1736
image.4425_with_target,False,19240,19230,-1740975890596.0898
image.5981_with_target,False,19466,19466,-1740975890596.2253
image.3825_with_target,False,20610,20605,-1740975890595.6106
image.6051_with_target,False,19298,19285,-1740975890595.7979
image.6565_with_target,False,19473,19342,-1740975890595.5405
image.8614_with_target,False,20675,20623,-1740975890596.127
image.7728_with_target,False,19312,19312,-1740975890596.001
image.3264_with_target,False,19272,19250,-1740975890595.99
image.8255_with_target,False,19179,19165,-1740975890594.4102
image.3354_with_target,False,19295,19295,-1740975890595.6604
image.4408_with_target,False,19831,19821,-1740975890595.5317
image.5958_with_target,False,19527,19522,-1740975890596.259
image.5755_with_target,False,19266,19241,-1740975890596.1968
image.9096_with_target,False,19502,19491,-1740975890596.2107
image.5068_with_target,False,20684,20670,-1740975890596.0032
image.7158_with_target,False,19252,19239,-1740975890595.9792
image.4247_with_target,False,20521,20513,-1740975890596.241
image.9169_with_target,False,19454,19378,-1740975890596.1091
image.4312_with_target,False,19200,19200,-1740975890595.953
image.8572_with_target,False,20687,20676,-1740975890596.017
image.8876_with_target,False,20502,20494,-1740975890595.4314
image.8599_with_target,False,19891,19886,-1740975890595.695
image.4280_with_target,False,19263,19249,-1740975890595.7527
image.9972_with_target,False,19292,19279,-1740975890595.6877
image.4259_with_target,False,19779,19771,-1740975890595.707
image.1278_with_target,False,20902,20674,-1740975890595.808
image.4929_with_target,False,19898,19898,-1740975890596.192
image.9258_with_target,False,19264,19264,-1740975890595.762
image.7180_with_target,False,19440,19432,-1740975890596.012
image.4896_with_target,False,20634,20621,-1740975890595.9817
image.3030_with_target,False,19896,19877,-1740975890595.4883
image.5152_with_target,False,20826,20777,-1740975890596.187
image.2782_with_target,False,19296,19220,-1740975890596.0034
image.4505_with_target,False,20713,20688,-1740975890596.2068
image.7026_with_target,False,19209,19204,-1740975890595.9998
image.2966_with_target,False,19243,19233,-1740975890595.9868
image.0796_with_target,False,19337,19327,-1740975890596.157
image.6757_with_target,False,19234,19221,-1740975890594.7402
image.8383_with_target,False,19255,19242,-1740975890595.8804
image.3799_with_target,False,19308,19297,-1740975890595.879
image.7248_with_target,False,19305,19281,-1740975890596.0732
image.6937_with_target,False,19591,19586,-1740975890596.1204
image.2607_with_target,False,19876,19866,-1740975890596.1548
image.6131_with_target,False,20719,20682,-1740975890595.2566
image.8006_with_target,False,19236,19226,-1740975890594.2378
image.5538_with_target,False,19226,19218,-1740975890595.798
image.1066_with_target,False,19365,19360,-1740975890596.1492
image.0615_with_target,False,19339,19326,-1740975890594.9624
image.3832_with_target,False,19226,19226,-1740975890596.2632
image.9170_with_target,False,19371,19366,-1740975890596.1812
image.8894_with_target,False,19360,19347,-1740975890596.2515
image.7223_with_target,False,19212,19207,-1740975890594.9167
image.7737_with_target,False,20902,20859,-1740975890595.9116
